frame,x,y,w,h
1,1586,360,24,24
2,1591,359,24,24
3,1596,358,24,24
4,1601,357,24,24
5,1608,355,24,24
6,1612,355,24,24
7,1618,353,24,24
8,1623,353,24,24
9,1629,351,24,24
10,1634,351,24,24
11,1640,349,24,24
12,1646,348,24,24
13,1650,347,24,24
14,1651,346,24,24
15,1649,344,24,24
16,1641,342,24,24
17,1626,338,24,24
18,1604,335,24,24
19,1581,331,24,24
20,1555,327,24,24
21,1527,323,24,24
22,1502,319,24,24
22,1792,31,24,24
24,1455,313,24,24
25,1434,310,24,24
26,1415,308,24,24
26,1664,26,24,24
27,1396,306,24,24
28,1377,304,24,24
29,1358,302,24,24
30,1340,300,24,24
31,1319,298,24,24
32,1301,297,24,24
33,1284,295,24,24
34,1269,294,24,24
35,1257,293,24,24
36,1248,292,24,24
37,1241,291,24,24
38,1236,292,24,24
39,1233,292,24,24
40,1231,291,24,24
41,1230,291,24,24
42,1227,289,24,24
43,1226,289,24,24
44,1224,289,24,24
45,1223,289,24,24
46,1222,289,24,24
46,1068,21,24,24
48,1219,287,24,24
48,1063,21,24,24
49,1218,287,24,24
50,1219,287,24,24
50,1061,21,24,24
51,1221,287,24,24
52,1221,287,24,24
53,1224,286,24,24
56,1230,286,24,24
58,1234,285,24,24
59,1236,286,24,24
60,1238,285,24,24
61,1241,285,24,24
63,1245,285,24,24
64,1247,285,24,24
66,1252,284,24,24
66,1068,22,24,24
67,1254,284,24,24
68,1256,284,24,24
69,1067,21,24,24
70,1260,282,24,24
71,1070,21,24,24
71,1264,282,24,24
72,1266,281,24,24
75,1284,280,24,24
76,1289,280,24,24
77,1294,280,24,24
78,1301,279,24,24
81,1316,277,24,24
84,84,694,24,24
84,1128,22,24,24
85,105,684,24,24
86,127,676,24,24
87,151,671,24,24
88,1148,21,24,24
89,1354,268,24,24
90,1351,262,24,24
91,1350,256,24,24
92,1346,252,24,24
93,1344,248,24,24
94,1342,246,24,24
94,234,635,24,24
95,250,626,24,24
95,1340,245,24,24
96,1338,244,24,24
97,1338,246,24,24
98,294,611,24,24
98,1339,249,24,24
99,1339,254,24,24
100,1340,260,24,24
101,1341,267,24,24
102,1340,278,24,24
103,1341,288,24,24
104,1339,302,24,24
104,548,929,24,24
105,555,914,24,24
105,1335,318,24,24
106,1331,335,24,24
106,1246,22,24,24
106,566,902,24,24
107,1326,355,24,24
108,1318,378,24,24
110,1302,434,24,24
111,1293,465,24,24
112,1286,503,24,24
113,1277,542,24,24
115,1257,636,24,24
116,1246,679,24,24
117,1244,678,24,24
118,1240,677,24,24
119,1234,678,24,24
120,1228,681,24,24
121,1220,686,24,24
122,1219,697,24,24
125,1179,737,24,24
128,296,667,24,24
152,1639,480,24,24
153,1642,481,24,24
154,1600,870,24,24
154,1645,482,24,24
155,1650,482,24,24
164,1723,489,24,24
165,1727,487,24,24
166,1729,487,24,24
167,1733,488,24,24
168,1021,402,24,24
168,1739,488,24,24
169,421,309,24,24
169,1020,402,24,24
169,1747,489,24,24
170,418,310,24,24
170,1020,402,24,24
170,1759,491,24,24
171,1019,402,24,24
172,1020,402,24,24
173,1019,402,24,24
174,1020,402,24,24
175,1020,402,24,24
176,1020,402,24,24
177,1020,402,24,24
178,1020,402,24,24
178,1811,482,24,24
179,1020,402,24,24
179,1812,482,24,24
180,401,310,24,24
180,1020,402,24,24
181,400,310,24,24
181,1020,402,24,24
181,1823,482,24,24
182,400,309,24,24
182,1020,402,24,24
182,1829,484,24,24
183,400,310,24,24
183,1020,402,24,24
184,399,310,24,24
184,1020,402,24,24
185,398,310,24,24
185,1021,401,24,24
186,397,309,24,24
186,1020,401,24,24
187,1021,401,24,24
188,395,309,24,24
188,1021,401,24,24
189,395,308,24,24
189,1021,401,24,24
190,394,308,24,24
190,1022,401,24,24
191,393,308,24,24
191,1021,401,24,24
192,1022,401,24,24
193,1022,401,24,24
194,1022,401,24,24
195,394,307,24,24
195,1022,401,24,24
196,1022,401,24,24
197,1022,401,24,24
198,1022,401,24,24
199,1022,401,24,24
200,1023,401,24,24
201,1023,400,24,24
202,400,306,24,24
202,1023,400,24,24
203,1023,400,24,24
204,402,306,24,24
204,1023,401,24,24
205,1023,401,24,24
206,1022,401,24,24
207,1022,401,24,24
208,1022,401,24,24
209,1022,401,24,24
210,413,308,24,24
210,1022,401,24,24
211,1024,400,24,24
212,1024,400,24,24
213,1024,400,24,24
214,418,308,24,24
214,1024,400,24,24
215,419,308,24,24
215,1024,401,24,24
216,420,307,24,24
216,1024,401,24,24
217,1024,401,24,24
218,421,307,24,24
218,1024,401,24,24
219,1024,401,24,24
220,423,306,24,24
220,1024,401,24,24
221,425,306,24,24
221,1024,401,24,24
222,426,307,24,24
222,1025,400,24,24
223,427,306,24,24
223,1024,401,24,24
224,430,306,24,24
224,1024,401,24,24
225,430,306,24,24
225,1024,401,24,24
226,431,305,24,24
226,1025,401,24,24
227,1024,401,24,24
228,1025,401,24,24
229,1025,401,24,24
230,1025,401,24,24
231,1025,401,24,24
232,1025,401,24,24
233,1026,401,24,24
234,439,307,24,24
234,1026,400,24,24
235,1768,1028,24,24
235,440,308,24,24
235,1026,400,24,24
236,1764,1023,24,24
236,441,307,24,24
236,1026,401,24,24
237,441,308,24,24
237,1026,400,24,24
238,442,308,24,24
238,1026,400,24,24
239,442,308,24,24
239,1026,401,24,24
240,443,307,24,24
240,1026,401,24,24
241,1026,401,24,24
242,1026,401,24,24
243,1026,401,24,24
244,444,309,24,24
244,1027,401,24,24
245,445,308,24,24
245,1027,401,24,24
246,446,308,24,24
246,1027,401,24,24
247,1027,401,24,24
248,1778,1021,24,24
248,1027,401,24,24
249,1027,401,24,24
250,449,307,24,24
250,1027,401,24,24
251,1028,401,24,24
252,1028,401,24,24
253,1027,401,24,24
254,1027,401,24,24
255,1027,401,24,24
256,1027,401,24,24
257,1027,401,24,24
258,1028,401,24,24
259,1027,401,24,24
260,1027,401,24,24
261,1027,401,24,24
262,1027,401,24,24
263,1027,401,24,24
264,1028,401,24,24
265,1028,401,24,24
266,1028,401,24,24
267,1028,401,24,24
268,1028,401,24,24
269,1028,401,24,24
270,1028,401,24,24
271,1028,401,24,24
272,1028,401,24,24
273,1028,401,24,24
274,1028,401,24,24
275,1028,401,24,24
276,1028,401,24,24
277,1028,401,24,24
278,1028,401,24,24
279,1028,401,24,24
280,1028,401,24,24
281,1028,401,24,24
282,1027,402,24,24
283,1027,402,24,24
284,1028,402,24,24
285,1028,402,24,24
286,1028,402,24,24
287,1028,402,24,24
288,1028,402,24,24
289,1029,402,24,24
290,1029,402,24,24
291,1029,402,24,24
292,1029,402,24,24
293,1029,403,24,24
294,1030,403,24,24
295,1030,403,24,24
296,1029,403,24,24
297,1030,403,24,24
298,1030,402,24,24
299,1030,402,24,24
300,1029,402,24,24
301,1030,402,24,24
302,1030,402,24,24
303,1030,402,24,24
304,1030,403,24,24
305,1030,402,24,24
306,1029,403,24,24
307,1029,403,24,24
308,1030,403,24,24
309,1030,403,24,24
310,1031,403,24,24
311,1030,403,24,24
312,1030,403,24,24
313,1030,403,24,24
314,1030,403,24,24
316,1030,402,24,24
320,427,307,24,24
321,1032,403,24,24
322,1032,403,24,24
323,426,306,24,24
323,1032,402,24,24
324,426,306,24,24
324,1032,403,24,24
325,426,305,24,24
325,1032,403,24,24
326,1032,402,24,24
327,1032,402,24,24
328,1031,402,24,24
329,1032,402,24,24
330,1031,402,24,24
331,1032,402,24,24
332,1032,402,24,24
333,1031,402,24,24
334,1032,402,24,24
335,1032,402,24,24
336,1032,401,24,24
337,1032,401,24,24
338,1032,400,24,24
339,1032,401,24,24
340,1033,400,24,24
341,1032,401,24,24
342,1033,400,24,24
343,1033,400,24,24
344,1032,400,24,24
345,1032,400,24,24
346,1032,399,24,24
347,1032,399,24,24
348,1032,399,24,24
349,1032,399,24,24
350,1032,399,24,24
351,1032,399,24,24
352,1032,400,24,24
353,1032,400,24,24
354,1033,399,24,24
355,1033,399,24,24
356,1033,399,24,24
357,1033,400,24,24
358,1034,399,24,24
359,1034,399,24,24
360,1033,399,24,24
364,1034,399,24,24
366,1035,399,24,24
367,1035,399,24,24
368,1035,399,24,24
369,1035,399,24,24
370,1035,399,24,24
371,1035,399,24,24
374,1034,399,24,24
375,1033,399,24,24
376,1033,399,24,24
378,1033,399,24,24
379,1033,399,24,24
380,1033,399,24,24
381,1033,399,24,24
382,1033,399,24,24
383,1033,399,24,24
384,1032,398,24,24
385,1032,398,24,24
386,1032,398,24,24
387,1032,398,24,24
388,1033,398,24,24
389,1033,398,24,24
390,1033,398,24,24
391,1034,398,24,24
392,1034,398,24,24
393,1034,398,24,24
394,1034,398,24,24
395,1034,398,24,24
396,1033,399,24,24
397,1032,399,24,24
398,1033,399,24,24
399,1033,399,24,24
400,1033,399,24,24
401,1033,399,24,24
402,1033,399,24,24
403,1033,399,24,24
404,1033,399,24,24
405,1033,399,24,24
406,1033,399,24,24
407,450,299,24,24
407,1033,399,24,24
408,1033,399,24,24
409,453,300,24,24
409,1033,399,24,24
410,455,301,24,24
410,1033,399,24,24
411,456,302,24,24
411,1034,399,24,24
412,1034,399,24,24
413,459,303,24,24
413,1034,399,24,24
414,463,304,24,24
414,1034,399,24,24
415,465,305,24,24
415,1034,399,24,24
416,1034,399,24,24
417,1034,399,24,24
418,1034,399,24,24
419,471,316,24,24
419,1034,399,24,24
420,473,320,24,24
420,1034,399,24,24
421,1034,399,24,24
422,1034,399,24,24
423,1034,399,24,24
424,1035,399,24,24
425,1035,400,24,24
426,1034,399,24,24
427,1035,399,24,24
428,1035,400,24,24
429,1035,400,24,24
431,1034,401,24,24
432,1034,400,24,24
433,1034,401,24,24
434,1034,401,24,24
435,1034,401,24,24
436,1034,401,24,24
437,1035,401,24,24
438,1034,401,24,24
439,1034,401,24,24
440,1035,401,24,24
441,1035,401,24,24
442,1035,401,24,24
443,1035,402,24,24
444,1034,402,24,24
445,1035,402,24,24
446,1034,403,24,24
447,1034,403,24,24
448,1034,402,24,24
449,1034,402,24,24
450,1034,402,24,24
451,1034,403,24,24
452,1035,403,24,24
453,1035,403,24,24
