frame,x,y,w,h
1,1590,358,22,19
2,1594,359,20,17
3,1599,358,19,17
4,1604,356,22,20
5,1608,355,21,19
6,1614,355,23,18
7,1618,354,22,17
8,1624,352,21,15
9,1634,351,20,16
10,1637,350,23,16
11,1644,348,22,17
16,1644,340,20,19
17,1627,338,20,18
18,1609,334,20,17
19,1582,330,21,16
21,1530,322,19,16
22,1505,316,21,18
23,1481,314,18,18
24,1456,312,22,14
25,1437,308,20,17
26,1420,305,19,18
28,1382,303,19,17
29,1363,298,20,21
30,1342,299,18,16
31,1324,298,19,17
32,1306,295,18,17
33,1287,294,19,16
34,1275,293,17,16
35,1261,292,17,16
36,1250,292,19,16
38,1240,290,19,16
39,1236,290,19,16
40,1235,289,20,15
41,1232,288,19,16
42,1230,288,19,16
43,1228,288,21,16
44,1228,287,19,15
45,1227,287,19,15
46,1226,287,20,15
49,1225,286,20,15
50,1225,286,19,16
51,1225,285,20,16
53,1226,286,20,15
54,1228,285,21,15
55,1232,285,20,15
57,1237,284,19,17
58,1238,284,19,18
59,1242,283,18,17
60,1242,283,18,17
61,1242,285,21,16
63,1248,285,22,14
64,1252,284,21,16
71,1269,280,18,17
72,1271,280,18,16
73,1273,280,21,16
74,1277,280,24,16
75,1286,278,21,19
76,1293,279,21,17
77,1301,279,20,15
78,1305,279,19,13
79,1311,278,19,15
80,1316,278,18,15
81,1321,278,21,14
82,1327,276,24,16
83,1332,277,22,16
84,1337,276,21,14
91,1351,258,24,16
92,1349,253,21,18
93,1348,247,19,16
94,1347,245,17,18
95,1345,245,18,17
96,1343,245,17,16
97,1341,247,19,17
98,1342,250,17,17
99,1343,254,19,18
100,1344,260,18,16
101,1346,265,19,19
102,1345,277,21,17
103,1344,287,21,19
104,1337,302,25,16
105,1336,318,25,17
106,1334,335,20,19
107,1328,355,26,21
108,1319,377,27,21
109,1309,403,29,21
110,1300,433,26,20
111,1294,463,25,24
112,1286,501,28,24
113,1275,540,29,25
114,1263,585,33,27
115,1253,634,32,25
116,1243,677,31,25
117,1241,674,31,29
118,1236,672,33,29
119,1234,674,29,30
120,1226,676,32,33
121,1220,683,31,32
122,1212,689,31,31
123,1203,702,33,32
124,1189,714,40,34
125,1183,730,33,35
126,1168,750,35,34
127,1152,772,38,37
128,1140,796,35,42
129,1121,827,40,39
130,1103,860,38,44
131,1083,900,43,39
132,1065,939,38,45
133,1040,986,40,47
174,1024,403,24,18
175,1024,403,23,18
176,1024,403,23,18
177,1024,403,23,18
178,1024,403,24,18
179,1024,402,24,19
180,1025,403,24,18
181,1025,403,23,18
182,1024,403,25,18
183,1024,403,25,17
184,1025,403,24,18
185,1025,403,24,17
186,1025,402,24,17
187,1024,402,25,18
188,1025,402,24,17
189,1025,402,24,18
190,1025,402,24,17
191,1025,402,24,17
192,1025,402,25,18
193,1026,402,24,18
194,1026,402,24,18
195,1026,402,23,18
196,1026,402,24,18
197,1026,402,23,18
198,1026,402,24,17
199,1025,401,25,17
200,1026,401,24,17
201,1025,401,25,17
202,1026,401,24,17
203,1026,401,23,17
204,1026,401,23,17
205,1026,401,23,17
206,1025,402,24,17
207,1026,402,23,17
208,1026,402,23,17
209,1026,402,23,17
210,1027,402,22,17
211,1027,403,22,16
212,1027,403,22,16
213,1027,403,22,16
214,1026,403,23,16
215,1026,403,23,16
216,1026,403,23,16
217,1026,403,23,16
218,1026,402,23,16
219,1026,403,23,16
220,1026,402,23,16
221,1027,402,23,16
222,1027,401,24,17
223,1027,401,23,17
224,1027,401,23,17
225,1027,401,23,17
226,1027,402,23,17
227,1027,402,24,17
228,1026,402,23,17
229,1027,402,23,17
230,1028,402,24,17
231,1028,402,24,17
232,1027,402,25,17
233,1028,402,25,17
234,1028,402,25,17
235,1028,402,25,17
236,1028,402,25,17
237,1030,402,24,17
238,1030,402,24,17
239,1030,402,24,17
240,1030,402,24,17
241,1029,402,24,18
242,1029,402,24,18
243,1030,402,23,18
244,1030,402,23,17
245,1030,402,23,17
246,1030,402,23,17
247,1029,402,24,17
248,1030,402,24,18
249,1030,402,24,17
250,1030,402,24,18
251,1030,402,23,18
252,1030,402,24,18
253,1030,402,24,18
254,1031,401,23,18
255,1030,401,23,17
256,1030,401,24,18
257,1030,401,24,17
258,1031,401,24,18
259,1030,401,23,18
260,1031,402,23,18
261,1031,402,23,18
262,1031,401,24,18
263,1031,401,24,18
264,1031,401,24,18
265,1031,401,24,18
266,1031,401,24,18
267,1030,402,24,18
268,1030,402,24,17
269,1030,402,23,18
270,1031,402,23,18
271,1032,402,24,18
272,1032,402,24,18
273,1032,402,24,18
274,1032,402,24,18
275,1033,402,24,18
276,1033,402,24,17
277,1033,402,23,17
278,1034,402,22,17
279,1034,402,22,18
280,1034,402,22,17
281,1033,402,23,18
282,1033,402,23,18
283,1033,402,23,18
284,1033,402,23,18
285,1033,402,23,18
286,1034,402,22,18
287,1033,402,23,18
288,1033,402,23,18
289,1033,402,23,17
290,1033,403,24,17
291,1033,403,23,17
292,1033,403,23,17
293,1034,403,23,18
294,1034,403,24,17
295,1034,403,24,17
296,1034,403,24,17
297,1033,403,24,17
298,1034,403,24,17
299,1034,403,24,17
300,1034,403,24,17
301,1035,403,24,18
302,1035,403,24,17
303,1035,403,24,18
304,1034,403,24,17
305,1034,403,24,17
306,1034,404,24,16
307,1034,404,24,16
308,1034,404,24,16
309,1034,404,24,16
310,1034,404,24,16
311,1035,404,24,16
312,1034,404,24,16
313,1035,404,24,16
314,1034,404,24,15
315,1034,405,24,16
316,1034,404,24,16
317,1035,405,24,16
318,1035,405,24,16
319,1035,405,24,16
320,1035,405,24,16
321,1035,405,24,16
322,1035,405,24,16
323,1036,405,24,16
324,1036,405,23,16
325,1036,404,23,16
326,1036,404,24,16
327,1036,403,23,17
328,1036,403,23,17
329,1036,403,24,17
330,1036,403,23,17
331,1038,404,22,16
332,1038,404,22,16
333,1038,403,22,17
334,1038,402,22,17
335,1038,404,22,16
336,1037,403,22,16
337,1037,403,21,16
338,1037,403,22,16
339,1037,402,22,17
340,1037,402,22,17
341,1038,401,21,17
342,1038,401,21,17
343,1038,401,22,17
344,1038,401,22,17
345,1038,401,22,17
346,1038,401,22,17
347,1038,401,22,17
348,1037,400,22,17
349,1037,400,21,17
350,1037,401,22,17
351,1037,401,22,16
352,1037,401,22,16
353,1038,401,22,16
354,1037,401,22,16
355,1037,401,22,16
356,1037,401,22,16
357,1038,400,22,17
358,1038,400,22,17
359,1037,400,23,17
360,1038,400,22,17
361,1038,401,22,16
362,1038,401,21,16
363,1038,401,21,16
364,1039,400,21,17
365,1039,400,21,17
366,1039,400,21,17
367,1039,400,21,17
368,1039,400,21,17
369,1039,400,21,17
370,1039,400,21,17
371,1039,400,21,17
372,1039,400,21,17
373,1039,400,21,17
374,1038,400,21,17
375,1038,400,21,17
376,1038,400,21,17
377,1038,400,21,17
378,1038,400,21,17
379,1038,400,22,17
380,1038,400,22,17
381,1037,400,23,17
382,1038,400,22,17
383,1038,400,22,17
384,1037,400,24,18
385,1037,400,24,18
386,1037,400,23,18
387,1037,399,23,17
388,1037,400,23,17
389,1037,400,23,17
390,1037,399,23,18
391,1036,399,23,18
392,1036,399,23,18
393,1036,399,23,18
394,1036,399,23,18
395,1036,399,23,18
396,1036,399,23,18
397,1037,399,22,18
398,1036,399,23,18
399,1037,399,22,18
400,1036,399,23,18
401,1037,399,22,18
402,1037,399,22,18
403,1037,399,22,18
404,1037,399,22,17
405,1037,399,22,18
406,1037,399,22,18
407,1037,399,22,18
408,1037,399,22,18
409,1037,399,22,18
410,1037,399,22,18
411,1036,399,23,18
412,1036,400,23,18
413,1036,399,23,18
414,1037,400,23,17
415,1037,400,23,18
416,1037,400,23,17
417,1037,400,23,17
418,1037,400,23,17
419,1037,400,23,17
420,1037,399,23,17
421,1037,399,23,17
422,1037,399,23,17
423,1037,400,23,16
424,1038,401,22,16
425,1038,400,22,17
426,1038,401,22,17
427,1038,401,21,17
428,1038,401,22,17
429,1037,401,23,17
430,1037,402,23,16
431,1037,402,24,16
432,1037,403,24,16
433,1036,403,25,16
434,1036,403,25,15
435,1035,403,25,15
436,1036,403,25,15
437,1036,404,25,15
438,1036,404,25,15
439,1036,404,25,15
440,1036,404,25,15
441,1036,404,25,15
442,1038,404,24,16
443,1038,404,23,16
444,1039,404,21,16
445,1039,404,21,16
446,1038,404,21,16
447,1039,403,21,17
448,1039,404,22,16
449,1039,404,22,16
450,1039,404,22,15
451,1041,404,22,16
452,1041,404,22,16
453,1041,404,22,15
454,1041,404,22,15
455,1041,404,22,15
456,1041,404,22,15
457,1041,404,22,16
458,1041,404,22,16
459,1041,404,22,15
460,1039,404,23,15
461,1041,404,22,16
462,1041,404,22,15
463,1041,404,21,15
464,1041,404,21,15
465,1041,404,22,15
466,1040,404,22,16
467,1040,404,22,16
468,1039,404,23,15
469,1039,404,22,15
470,1038,404,23,15
471,1038,404,24,15
472,1038,405,24,14
473,1038,404,24,15
474,1038,404,24,15
475,1038,404,24,15
476,1038,403,23,16
477,1038,403,24,16
478,1038,403,23,16
479,1039,403,22,16
480,1039,403,22,16
481,1038,403,23,16
482,1039,403,23,16
483,1040,403,22,16
484,1039,403,23,15
485,1039,403,22,15
486,1037,403,23,15
487,1037,403,23,15
488,1037,403,23,15
489,1037,404,23,15
490,1037,403,23,16
491,1038,403,23,16
492,1038,402,23,17
493,1038,403,23,16
494,1038,403,24,16
495,1038,402,23,17
496,1038,403,24,16
497,1038,403,24,16
498,1038,402,23,17
499,1038,402,24,17
500,1038,402,23,17
501,1037,402,23,17
502,1037,401,23,17
503,1037,402,23,17
504,1037,403,23,16
505,1037,403,23,16
506,1037,402,23,17
507,1037,402,23,17
508,1038,402,22,17
509,1037,402,23,17
510,1037,402,23,18
511,1036,403,23,17
512,1036,403,23,17
513,1036,403,23,17
514,1036,403,22,17
515,1035,403,23,17
516,1035,403,23,17
517,1035,404,23,16
518,1035,404,23,16
519,1035,404,23,16
520,1035,404,23,16
521,1035,404,23,16
522,1035,404,23,16
523,1036,404,22,16
524,1037,404,22,16
525,1036,403,23,17
526,1035,404,23,16
527,1035,404,23,17
528,1035,404,23,17
529,1035,404,23,17
530,1035,404,24,17
531,1034,404,25,18
532,1035,404,24,17
533,1034,404,24,17
534,1033,404,24,17
535,1033,404,24,17
536,1033,405,23,16
537,1033,404,24,17
538,1034,404,24,18
539,1034,404,23,18
540,1034,404,23,18
541,1034,404,24,18
542,1034,404,24,18
543,1034,404,24,18
544,1034,404,24,19
545,1033,404,25,19
546,1033,404,25,19
547,1033,404,25,19
548,1033,404,25,19
549,1032,404,25,19
550,1033,405,24,18
551,1032,404,25,18
552,1033,404,24,18
553,1033,404,24,18
554,1033,404,23,18
555,1033,404,24,17
556,1033,404,24,17
557,1033,404,24,17
558,1033,404,23,17
559,1033,404,23,17
560,1033,404,23,17
561,1034,404,23,17
