frame,x,y,w,h
0,1595,367,27,28
1,1599,367,28,21
2,1603,368,27,21
3,1613,366,32,30
4,1613,361,30,26
5,1621,363,31,24
6,1622,360,32,24
7,1633,357,25,21
8,1643,359,29,25
9,1642,360,29,21
10,1654,355,29,24
11,1649,345,26,26
12,1633,344,29,22
13,1618,338,27,27
14,1586,336,29,23
15,1540,329,29,22
16,1515,325,31,26
17,1491,320,27,28
18,1461,320,30,20
19,1447,317,30,27
20,1426,314,24,22
21,1390,307,24,24
22,1371,308,26,30
23,1346,305,26,21
24,1333,304,26,24
25,1310,304,26,24
26,1291,298,24,20
27,1280,303,23,23
28,1269,300,23,23
29,1257,296,26,23
30,1245,295,28,22
31,1241,299,25,20
32,1244,297,30,21
33,1236,298,25,20
34,1234,295,24,26
35,1234,296,26,26
36,1236,295,26,22
37,1231,291,28,23
38,1235,295,28,25
39,1235,293,25,19
40,1235,294,28,20
41,1233,295,25,20
42,1236,292,29,19
43,1238,293,29,22
44,1240,289,30,24
45,1245,292,29,26
46,1247,294,28,25
47,1249,289,22,27
48,1248,291,26,27
49,1250,294,28,22
50,1258,292,30,23
51,1262,289,31,26
52,1275,287,27,27
53,1275,288,28,24
54,1283,287,29,22
55,1285,287,33,24
56,1290,282,29,27
57,1297,284,26,21
58,1309,287,28,25
59,1314,284,28,23
60,1317,288,26,24
61,1321,284,27,25
62,1329,285,27,24
63,1331,280,29,20
64,1340,287,31,24
65,1342,283,25,19
66,1356,264,28,22
67,1353,261,29,28
68,1355,252,27,23
69,1357,255,25,23
70,1354,252,22,21
71,1352,255,27,22
72,1348,257,25,27
73,1350,258,24,27
74,1348,262,24,27
75,1351,269,25,24
76,1350,275,27,27
77,1355,283,29,21
78,1353,293,31,27
79,1342,307,30,22
80,1343,327,34,21
81,1338,343,24,27
82,1334,360,32,31
83,1324,384,35,26
84,1316,408,34,26
85,1306,443,30,25
86,1301,472,30,30
87,1290,507,38,33
88,1283,549,36,34
89,1271,594,41,33
90,1258,640,37,35
91,1251,687,35,35
92,1245,681,36,37
93,1246,676,38,37
94,1242,680,36,35
95,1231,683,39,41
96,1226,693,38,38
97,1222,698,38,39
98,1209,712,38,42
99,1195,722,46,42
100,1192,735,40,42
101,1176,756,41,44
102,1158,777,42,44
103,1149,800,40,52
104,1126,831,45,47
105,1108,865,47,54
106,1092,906,52,48
107,1070,948,45,52
108,1049,995,48,53
109,1034,408,33,27
110,1028,413,32,25
111,1028,410,33,28
112,1033,407,27,28
113,1030,410,28,25
114,1034,410,33,29
115,1034,409,28,28
116,1033,410,30,22
117,1030,407,35,25
118,1033,407,34,24
119,1029,412,32,25
120,1035,411,29,26
121,1035,407,34,26
122,1034,410,31,26
123,1032,406,28,27
124,1035,408,31,25
125,1029,412,29,21
126,1034,407,32,25
127,1032,406,34,25
128,1031,411,31,23
129,1033,412,29,27
130,1036,408,27,25
131,1030,410,34,22
132,1035,408,30,27
133,1035,411,32,22
134,1035,411,33,25
135,1035,406,33,25
136,1029,409,34,23
137,1036,410,33,24
138,1030,409,28,21
139,1032,411,29,21
140,1032,406,28,26
141,1035,406,30,25
142,1033,412,31,27
143,1032,409,29,21
144,1034,408,33,22
145,1033,411,26,25
146,1031,408,28,21
147,1032,411,27,20
148,1035,408,26,26
149,1035,408,29,26
150,1031,408,28,26
151,1035,409,28,22
152,1035,408,31,23
153,1033,410,27,24
154,1032,409,33,20
155,1031,410,33,20
156,1031,406,29,22
157,1033,407,33,21
158,1036,409,30,27
159,1034,406,28,27
160,1035,409,27,24
161,1033,411,33,27
162,1036,412,32,23
163,1030,408,33,23
164,1036,411,28,23
165,1032,406,34,24
166,1038,407,31,27
167,1031,407,35,23
168,1036,412,34,25
169,1033,409,30,21
170,1036,407,29,23
171,1032,409,29,25
172,1037,407,29,25
173,1035,411,28,23
174,1039,411,34,23
175,1039,409,32,23
176,1037,408,32,22
177,1035,406,28,27
178,1035,409,28,27
179,1040,408,31,23
180,1035,407,30,21
181,1034,406,32,23
182,1033,408,31,26
183,1035,406,28,22
184,1037,410,32,22
185,1036,409,33,25
186,1035,407,33,22
187,1035,408,31,23
188,1034,412,32,24
189,1037,405,33,25
190,1040,408,33,26
191,1037,409,33,27
192,1034,409,32,23
193,1038,410,34,26
194,1035,405,30,25
195,1037,411,30,24
196,1039,410,27,22
197,1041,411,30,24
198,1035,407,32,28
199,1037,408,34,26
200,1036,407,30,25
201,1040,406,32,22
202,1035,411,28,22
203,1034,409,31,22
204,1036,407,30,28
205,1035,406,29,25
206,1036,411,34,22
207,1040,406,31,25
208,1040,408,32,24
209,1036,406,30,26
210,1043,408,33,23
211,1041,408,28,26
212,1042,407,32,24
213,1042,409,26,24
214,1043,409,30,27
215,1039,409,27,27
216,1041,411,30,23
217,1037,406,28,27
218,1042,409,32,25
219,1042,410,31,24
220,1042,409,31,27
221,1042,411,27,23
222,1041,411,29,25
223,1042,406,29,23
224,1037,406,29,23
225,1037,411,32,26
226,1039,408,30,23
227,1042,409,28,27
228,1043,413,29,28
229,1038,409,29,22
230,1039,412,28,21
231,1039,413,31,26
232,1038,407,33,23
233,1038,408,31,26
234,1042,409,30,27
235,1040,412,32,24
236,1041,409,31,28
237,1040,408,29,27
238,1040,409,28,23
239,1043,408,28,23
240,1044,408,28,25
241,1041,410,33,23
242,1043,412,29,20
243,1038,408,33,24
244,1042,410,30,24
245,1039,412,32,24
246,1039,409,29,20
247,1039,411,28,22
248,1043,412,34,20
249,1044,412,32,24
250,1041,412,29,24
251,1043,414,31,26
252,1039,410,29,20
253,1044,415,28,26
254,1041,414,34,24
255,1041,410,28,26
256,1042,409,33,25
257,1042,414,29,26
258,1042,414,30,25
259,1040,413,29,23
260,1046,411,33,24
261,1046,413,28,23
262,1046,412,29,21
263,1042,409,28,24
264,1041,412,33,22
265,1042,412,33,27
266,1045,411,30,25
267,1044,409,29,20
268,1042,410,30,24
269,1047,410,28,23
270,1044,409,32,25
271,1042,408,26,26
272,1044,412,28,20
273,1045,412,26,23
274,1042,411,31,24
275,1041,407,26,22
276,1044,405,28,27
277,1042,411,26,22
278,1042,405,30,22
279,1045,406,31,21
280,1046,410,28,24
281,1043,405,32,21
282,1047,407,27,22
283,1045,410,27,23
284,1047,410,31,23
285,1041,409,26,25
286,1046,409,27,24
287,1042,411,30,23
288,1045,407,31,24
289,1042,405,27,24
290,1041,408,28,26
291,1042,411,29,25
292,1045,409,27,27
293,1044,409,32,22
294,1043,404,28,23
295,1045,404,30,24
296,1045,407,29,21
297,1045,411,31,24
298,1045,406,26,24
299,1043,404,27,22
300,1049,407,31,25
301,1046,405,27,25
302,1049,410,31,24
303,1045,406,31,25
304,1046,406,27,24
305,1047,407,25,26
306,1049,404,28,25
307,1044,405,31,26
308,1046,404,25,26
309,1044,405,30,23
310,1047,410,29,23
311,1048,405,29,21
312,1044,406,26,26
313,1043,407,25,21
314,1043,410,27,22
315,1047,404,28,22
316,1042,407,33,26
317,1046,406,26,24
318,1048,406,26,22
319,1047,406,28,28
320,1041,407,29,22
321,1041,410,28,27
322,1046,406,28,22
323,1041,408,32,24
324,1047,409,31,22
325,1046,404,31,25
326,1041,409,30,25
327,1042,408,33,26
328,1045,405,32,23
329,1044,404,29,27
330,1043,406,30,28
331,1044,406,30,22
332,1043,409,29,27
333,1046,405,32,23
334,1042,403,26,22
335,1045,408,32,23
336,1045,406,32,27
337,1044,404,32,23
338,1042,406,32,27
339,1044,406,26,26
340,1043,403,29,22
341,1042,408,31,23
342,1046,405,32,27
343,1044,407,27,27
344,1047,404,28,28
345,1042,406,28,27
346,1042,406,31,22
347,1040,407,30,24
348,1046,403,28,23
349,1047,404,30,24
350,1044,410,32,24
351,1043,406,33,27
352,1042,407,27,26
353,1047,404,28,23
354,1044,407,28,22
355,1043,405,27,23
356,1045,406,29,22
357,1047,403,29,22
358,1045,407,28,22
359,1042,406,30,20
360,1046,404,29,24
361,1043,410,32,25
362,1043,408,25,22
363,1042,410,31,26
364,1041,411,32,27
365,1046,408,32,20
366,1047,411,31,20
367,1046,411,29,23
368,1045,409,30,21
369,1043,413,29,23
370,1045,411,32,23
371,1041,408,30,22
372,1043,410,34,24
373,1040,413,35,25
374,1040,411,35,19
375,1046,410,35,23
376,1045,412,33,24
377,1043,411,30,25
378,1042,414,29,21
379,1043,412,30,20
380,1049,409,31,20
381,1048,409,28,26
382,1048,413,26,23
383,1047,409,30,23
384,1047,409,26,23
385,1049,413,28,21
386,1047,410,30,21
387,1045,413,27,22
388,1049,414,32,25
389,1046,414,28,24
390,1051,408,27,23
391,1051,411,31,25
392,1050,408,28,26
393,1047,408,26,24
394,1051,412,31,20
395,1047,411,31,21
396,1047,413,28,24
