frame,x,y,w,h
0,1592,360,24,19
1,1596,359,22,19
2,1600,360,21,18
3,1605,357,22,21
4,1610,355,23,21
5,1614,357,23,18
6,1619,356,22,19
7,1626,352,21,16
8,1635,352,20,18
9,1637,352,23,16
10,1644,349,22,17
11,1646,340,22,19
12,1629,338,20,19
13,1609,334,20,18
14,1584,330,22,16
15,1531,322,21,16
16,1506,316,22,20
17,1482,316,18,18
18,1458,314,23,16
19,1439,309,22,18
20,1422,307,21,20
21,1384,303,21,19
22,1363,300,21,21
23,1343,300,18,18
24,1325,299,21,17
25,1307,296,19,17
26,1288,294,19,18
27,1277,293,18,18
28,1262,294,19,17
29,1250,294,20,18
30,1242,290,20,18
31,1238,291,21,18
32,1236,291,20,15
33,1233,290,19,16
34,1232,288,21,16
35,1230,289,22,18
36,1230,289,19,15
37,1227,288,19,17
38,1226,287,20,16
39,1226,287,21,16
40,1226,287,19,16
41,1227,285,20,17
42,1226,288,21,17
43,1228,285,22,17
44,1234,287,21,15
45,1237,284,21,18
46,1240,286,20,20
47,1242,284,18,17
48,1244,285,18,17
49,1242,285,22,18
50,1249,286,24,16
51,1253,284,21,18
52,1270,281,19,17
53,1273,282,19,17
54,1275,280,21,18
55,1277,280,26,16
56,1288,278,21,21
57,1295,279,21,17
58,1303,281,21,15
59,1306,279,21,14
60,1311,279,19,15
61,1318,278,20,15
62,1323,280,22,14
63,1328,276,24,16
64,1334,278,22,17
65,1338,278,23,16
66,1352,260,24,18
67,1351,253,21,19
68,1349,249,20,18
69,1348,245,17,18
70,1347,246,19,19
71,1343,246,19,16
72,1341,249,21,17
73,1344,252,17,17
74,1344,254,19,20
75,1344,262,20,18
76,1346,266,20,20
77,1345,278,21,17
78,1345,288,23,21
79,1337,302,27,17
80,1336,318,25,17
81,1336,335,22,21
82,1329,357,26,21
83,1320,378,29,22
84,1311,405,29,22
85,1302,435,27,22
86,1295,465,25,26
87,1286,501,29,25
88,1275,542,31,26
89,1265,587,33,27
90,1255,634,34,27
91,1243,679,33,26
92,1241,674,33,31
93,1238,674,34,30
94,1234,674,31,32
95,1227,678,34,35
96,1222,684,32,33
97,1213,690,32,31
98,1204,703,34,33
99,1191,715,40,36
100,1184,732,33,36
101,1170,750,36,36
102,1153,774,40,38
103,1142,797,37,43
104,1123,829,40,39
105,1104,860,40,45
106,1084,901,44,40
107,1066,940,40,46
108,1042,986,42,49
109,1025,405,26,19
110,1024,403,23,18
111,1026,404,23,19
112,1026,404,24,19
113,1025,403,25,19
114,1024,403,26,21
115,1026,405,26,20
116,1025,405,23,19
117,1024,404,26,19
118,1025,405,26,17
119,1026,403,25,18
120,1026,403,25,18
121,1027,402,25,19
122,1025,402,25,19
123,1026,403,25,19
124,1025,403,25,18
125,1025,403,24,19
126,1027,402,26,17
127,1025,402,27,20
128,1028,404,25,18
129,1026,402,24,18
130,1026,402,23,19
131,1028,402,24,19
132,1027,404,24,20
