frame,x,y,w,h
0,1592,359,22,19
1,1599,362,21,18
2,1599,363,19,18
3,1608,360,22,20
4,1613,357,21,20
5,1616,356,24,19
6,1623,358,22,17
7,1625,355,22,15
8,1639,355,21,16
9,1637,353,23,16
10,1644,353,23,18
11,1645,341,21,19
12,1629,340,20,19
13,1612,336,21,17
14,1582,334,21,17
15,1533,324,20,17
16,1510,321,21,18
17,1483,319,18,19
18,1461,315,23,14
19,1437,309,20,18
20,1424,305,20,19
21,1384,307,20,18
22,1368,302,20,21
23,1343,299,19,17
24,1327,300,19,17
25,1308,297,19,18
26,1287,297,19,17
27,1276,294,17,16
28,1263,293,18,17
29,1254,296,20,16
30,1242,295,19,16
31,1240,293,19,16
32,1239,290,20,16
33,1237,293,20,17
34,1232,290,20,17
35,1231,288,22,17
36,1233,289,19,16
37,1231,291,20,16
38,1231,287,21,15
39,1226,286,20,15
40,1226,288,20,16
41,1226,289,21,17
42,1230,286,21,16
43,1232,286,21,16
44,1237,285,20,16
45,1239,287,19,17
46,1238,287,20,19
47,1244,284,19,17
48,1245,288,19,18
49,1245,288,22,17
50,1248,287,22,14
51,1252,285,22,16
52,1271,282,18,18
53,1273,281,18,16
54,1273,284,21,16
55,1278,280,25,17
56,1290,279,21,20
57,1296,284,21,18
58,1303,279,20,16
59,1307,284,20,14
60,1312,278,20,15
61,1317,282,19,15
62,1326,282,22,14
63,1327,276,24,17
64,1334,278,23,17
65,1340,278,21,15
66,1351,260,25,16
67,1353,255,21,19
68,1353,249,20,17
69,1349,248,18,19
70,1347,247,18,17
71,1344,248,17,17
72,1344,248,19,18
73,1347,255,17,18
74,1347,255,19,19
75,1346,265,19,17
76,1347,266,20,20
77,1345,278,21,18
78,1346,289,21,20
79,1340,307,26,17
80,1336,321,25,17
81,1338,338,21,19
82,1333,359,26,21
83,1319,377,28,21
84,1310,408,30,21
85,1303,437,27,21
86,1297,468,25,24
87,1291,502,29,25
88,1279,541,29,25
89,1263,586,34,27
90,1255,637,33,26
91,1247,682,32,25
92,1243,676,31,30
93,1238,674,33,29
94,1238,676,30,30
95,1230,677,33,34
96,1224,686,31,33
97,1214,693,32,31
98,1203,707,34,32
99,1192,715,41,34
100,1186,734,34,35
101,1168,752,36,35
102,1154,775,38,38
103,1142,801,35,42
104,1121,830,40,39
105,1107,861,39,44
106,1087,900,44,39
107,1067,942,39,46
108,1040,990,40,48
109,1025,406,25,19
110,1024,403,24,18
111,1024,405,23,19
112,1029,407,23,18
113,1026,404,25,19
114,1028,404,25,19
115,1026,406,25,19
116,1030,403,23,18
117,1026,407,25,18
118,1025,406,26,17
119,1029,406,25,19
120,1028,406,25,17
121,1025,402,24,18
122,1026,404,25,18
123,1029,407,25,17
124,1027,403,24,18
125,1029,404,25,18
126,1026,406,25,18
127,1026,402,26,18
128,1027,405,25,18
129,1029,403,24,18
130,1031,406,24,19
131,1029,402,25,19
132,1030,403,23,19
133,1027,406,24,17
134,1028,404,25,18
135,1026,401,25,17
136,1025,402,25,18
137,1031,401,24,17
138,1028,405,23,18
139,1026,401,23,17
140,1027,406,24,17
141,1027,404,24,17
142,1027,407,24,17
143,1028,404,24,18
144,1030,403,23,17
145,1032,403,22,17
146,1031,405,22,16
147,1030,406,23,16
148,1029,407,22,17
149,1026,404,24,17
150,1027,405,23,16
151,1031,406,24,17
152,1030,408,24,17
153,1031,403,23,16
154,1028,405,24,16
155,1028,404,24,16
156,1027,406,23,16
157,1027,404,25,18
158,1031,406,24,18
159,1032,402,23,18
160,1031,402,24,17
161,1031,407,24,17
162,1030,404,24,17
163,1028,407,23,17
164,1032,403,23,18
165,1032,407,24,18
166,1033,405,25,18
167,1031,403,26,18
168,1033,403,26,17
169,1032,404,26,17
170,1028,402,26,17
171,1028,402,25,17
172,1035,403,25,17
173,1031,406,25,17
174,1031,404,24,18
175,1031,406,24,17
176,1032,402,25,18
177,1033,404,25,18
178,1035,402,24,19
179,1030,403,24,18
180,1030,403,23,17
181,1030,402,23,17
182,1031,404,25,17
183,1030,407,25,18
184,1030,407,24,18
185,1032,405,24,19
186,1033,405,24,18
187,1030,404,25,19
188,1033,406,25,18
189,1033,405,24,18
190,1031,404,23,18
191,1031,403,25,18
192,1032,404,24,17
193,1035,403,25,19
194,1031,406,23,19
195,1036,404,23,19
196,1034,407,24,18
197,1036,403,24,19
198,1033,405,24,18
199,1036,402,25,18
200,1032,406,24,19
201,1035,406,24,19
202,1030,406,24,19
203,1032,407,25,17
204,1030,405,23,19
205,1031,404,23,18
206,1033,405,24,19
207,1034,404,24,18
208,1036,403,24,19
209,1032,403,24,19
210,1034,404,24,18
211,1035,406,24,18
212,1033,403,23,18
213,1034,407,23,17
214,1038,402,22,18
215,1035,407,22,17
216,1038,406,23,18
217,1033,407,24,18
218,1036,403,23,19
219,1033,406,24,19
220,1036,405,24,19
221,1034,404,23,19
222,1036,402,24,18
223,1033,404,24,18
224,1035,404,23,17
225,1038,403,25,17
226,1038,403,24,17
227,1035,405,23,17
228,1035,404,23,19
229,1038,408,24,17
230,1039,403,25,17
231,1038,407,24,17
232,1033,405,24,18
233,1037,405,24,18
234,1039,405,24,18
235,1035,408,25,18
236,1037,407,24,18
237,1040,404,24,17
238,1036,408,24,18
239,1034,407,25,17
240,1035,404,24,17
241,1035,404,24,16
242,1038,407,25,16
243,1037,405,25,17
244,1038,404,25,17
245,1039,405,24,17
246,1037,405,24,16
247,1038,406,24,16
248,1037,407,25,17
249,1038,404,24,15
250,1035,409,24,16
251,1037,407,25,17
252,1037,409,24,17
253,1039,407,25,16
254,1040,408,25,16
255,1035,407,25,17
256,1037,406,25,16
257,1035,408,25,16
258,1041,409,25,16
259,1038,406,23,16
260,1038,404,24,16
261,1039,404,24,16
262,1037,404,23,17
263,1041,408,24,18
264,1037,406,25,17
265,1039,403,23,18
266,1040,409,22,17
267,1042,409,22,16
268,1040,407,23,18
269,1041,402,23,17
270,1039,406,22,16
271,1038,408,23,17
272,1037,406,21,17
273,1038,403,22,17
274,1041,406,22,17
275,1041,405,23,18
276,1042,403,22,17
277,1038,405,22,18
278,1039,403,22,18
279,1038,404,23,18
280,1041,406,22,17
281,1039,402,23,17
282,1041,403,23,18
283,1039,401,23,18
284,1041,402,22,17
285,1039,401,22,18
286,1037,401,22,17
287,1039,406,23,17
288,1040,402,23,17
289,1038,402,22,17
290,1037,406,22,17
291,1037,403,23,17
292,1040,402,23,17
293,1042,402,22,18
294,1042,400,24,17
295,1039,401,22,17
296,1040,403,22,16
297,1043,406,21,16
298,1040,401,21,16
299,1041,404,21,18
300,1044,405,22,18
301,1039,405,22,17
302,1041,400,21,17
303,1041,405,21,17
304,1041,402,22,18
305,1042,404,22,17
306,1044,405,21,18
307,1044,401,21,17
308,1040,402,21,17
309,1038,404,22,18
310,1039,400,22,17
311,1043,401,21,18
312,1040,402,22,18
313,1041,404,22,17
314,1042,404,22,17
315,1040,401,23,17
316,1037,400,24,18
317,1039,404,22,17
318,1040,401,22,18
319,1037,405,25,19
320,1039,401,24,18
321,1042,405,24,19
322,1040,403,23,18
323,1040,401,23,18
324,1039,401,23,17
325,1041,399,23,18
326,1038,404,23,19
327,1036,401,24,18
328,1039,399,24,18
329,1039,403,23,19
330,1036,400,23,18
331,1041,401,24,19
332,1040,402,23,18
333,1040,404,23,18
334,1039,399,22,19
335,1041,400,23,19
336,1038,404,23,19
337,1037,400,23,18
338,1041,404,22,19
339,1038,403,23,17
340,1040,400,22,18
341,1038,402,22,18
342,1041,400,22,19
343,1040,402,22,19
344,1039,400,23,19
345,1042,401,23,19
