TiempoTotal,TimepError,ErrorX,Zero,ErrorY,Error,P,I,D,lr,fb,ud,yaw
3304700502685.001,15.603759765625,47,0,-51,-4,0.1,0.5,0,0,0,10,-2
4957050767920.482,0.0,209,0,-26,183,0.1,0.5,0,5,0,0,100
6609401033452.77,0.0,118,0,-40,78,0.1,0.5,0,5,0,0,-44
8261751299172.5205,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
9914101565017.234,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
11566451831033.785,15.620849609375,0,0,0,0,0.1,0.5,0,0,0,0,0
13218802097237.791,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
14871152363613.63,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
16523502630208.17,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
18175852896990.164,15.622314453125,0,0,0,0,0.1,0.5,0,0,0,0,0
19828203163959.613,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
21480553431116.52,0.0,56,0,-135,-79,0.1,0.5,0,5,0,0,-47
23132903698492.125,0.0,91,0,-95,-4,0.1,0.5,0,5,0,0,37
24785253966133.293,0.0,146,0,-69,77,0.1,0.5,0,5,0,0,48
26437604234024.402,15.62060546875,0,0,0,0,0.1,0.5,0,0,0,0,0
28089954502087.344,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
29742304770306.5,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
31394655038635.004,15.651611328125,0,0,0,0,0.1,0.5,0,0,0,0,0
33047005307088.508,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
34699355575666.953,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
36351705844354.75,15.61865234375,0,0,0,0,0.1,0.5,0,0,0,0,0
38004056113167.516,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
39656406382105.26,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
41308756651167.97,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
42961106920340.03,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
44613457189637.06,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
46265807459059.06,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
47918157728606.03,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
49570507998262.35,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
51222858268059.266,0.0,0,0,0,0,0.1,0.5,0,0,0,0,0
52875208538028.01,0.0,295,0,-9,286,0.1,0.5,0,5,0,0,100
54527558808137.35,0.0,272,0,-11,261,0.1,0.5,0,5,0,0,13
56179909078371.664,0.0,258,0,-13,245,0.1,0.5,0,5,0,0,16
57832259348730.945,0.0,244,0,-15,229,0.1,0.5,0,5,0,0,14
59484609619215.2,0.0,166,0,-17,149,0.1,0.5,0,5,0,0,-25
61136959889808.8,0.0,104,0,-24,80,0.1,0.5,0,5,0,0,-26
62789310160527.37,15.618896484375,95,0,-25,70,0.1,0.5,0,5,0,0,2
64441660431370.91,0.0,88,0,-28,60,0.1,0.5,0,5,0,0,1
