TiempoTotal,TimepError,ErrorX,Zero,ErrorY,Error,P,I,D,lr,fb,ud,yaw
485790023570126.00,31.24145508,4,0,-21,-17,0.1,0.5,0,0,0,0,-4
3304694296581.87,15.62231445,17,0,-51,-34,0.1,0.5,0,0,0,10,-20
4957041457002.69,0,83,0,-38,45,0.1,0.5,0,5,0,0,44
6609388617673.44,0,97,0,-36,61,0.1,0.5,0,5,0,0,14
8261735778562.90,31.24194336,117,0,-38,79,0.1,0.5,0,5,0,0,16
9914082939686.68,0,124,0,-35,89,0.1,0.5,0,5,0,0,13
11566430101044.70,0,77,0,-36,41,0.1,0.5,0,5,0,0,-19
13218777262590.30,0,64,0,-37,27,0.1,0.5,0,5,0,0,-4
14871124424385.80,15.62158203,48,0,-36,12,0.1,0.5,0,0,0,0,-6
16523471586493.70,15.62109375,40,0,-34,6,0.1,0.5,0,0,0,0,-2
18175818748804.70,15.62109375,39,0,-30,9,0.1,0.5,0,0,0,0,2
19828165911412.50,15.62255859,42,0,-19,23,0.1,0.5,0,0,0,0,9
21480513074239.00,0,49,0,-11,38,0.1,0.5,0,0,0,0,11
23132860237331.10,31.24389648,67,0,-7,60,0.1,0.5,0,5,0,0,17
24785207400688.70,0,83,0,-20,63,0.1,0.5,0,5,0,0,7
26437554564186.90,0,93,0,-23,70,0.1,0.5,0,5,0,0,10
28089901727810.10,0,96,0,-29,67,0.1,0.5,0,5,0,0,5
29742248891542.60,0,98,0,-34,64,0.1,0.5,0,5,0,0,4
31394596055400.10,0,93,0,-39,54,0.1,0.5,0,5,0,0,0
33046943219367.00,0,89,0,-44,45,0.1,0.5,0,5,0,0,0
34699290383458.80,0,84,0,-46,38,0.1,0.5,0,5,0,0,0
36351637547675.60,15.62280273,84,0,-44,40,0.1,0.5,0,5,0,0,5
38003984712001.80,0,83,0,-43,40,0.1,0.5,0,5,0,0,4
39656331876452.90,0,83,0,-41,42,0.1,0.5,0,5,0,0,5
41308679041029.00,0,84,0,-40,44,0.1,0.5,0,5,0,0,5
42961026205714.40,0,82,0,-38,44,0.1,0.5,0,5,0,0,4
44613373370509.20,0,82,0,-37,45,0.1,0.5,0,5,0,0,5
46265720535429.00,0,80,0,-37,43,0.1,0.5,0,5,0,0,3
47918067700458.10,0,77,0,-38,39,0.1,0.5,0,5,0,0,1
49570414865674.60,0,72,0,-38,34,0.1,0.5,0,5,0,0,0
51222762031000.50,15.61914063,67,0,-36,31,0.1,0.5,0,5,0,0,1
52875109196451.40,0,65,0,-36,29,0.1,0.5,0,5,0,0,1
54527456362027.30,0,61,0,-33,28,0.1,0.5,0,5,0,0,2
56179803527728.10,0,59,0,-32,27,0.1,0.5,0,5,0,0,2
57832150693569.50,0,58,0,-31,27,0.1,0.5,0,5,0,0,2
59484497859535.90,0,54,0,-30,24,0.1,0.5,0,5,0,0,0
61136845025611.70,0,52,0,-26,26,0.1,0.5,0,5,0,0,3
62789192191812.40,0,51,0,-26,25,0.1,0.5,0,5,0,0,2
64441539358122.40,15.61962891,49,0,-25,24,0.1,0.5,0,0,0,0,1
66093886524557.50,0,46,0,-25,21,0.1,0.5,0,0,0,0,0
67746233691101.80,15.62133789,46,0,-24,22,0.1,0.5,0,0,0,0,2
69398580857771.20,0,45,0,-23,22,0.1,0.5,0,0,0,0,2
71050928024565.50,15.62329102,43,0,-24,19,0.1,0.5,0,0,0,0,0
72703275191469.20,0,42,0,-23,19,0.1,0.5,0,0,0,0,1
74355622358497.80,0,39,0,-23,16,0.1,0.5,0,0,0,0,0
76007969525635.80,0,37,0,-22,15,0.1,0.5,0,0,0,0,1
77660316692898.80,15.62207031,34,0,-22,12,0.1,0.5,0,0,0,0,0
79312663860271.10,0,33,0,-21,12,0.1,0.5,0,0,0,0,1
80965011027815.20,15.62109375,32,0,-21,11,0.1,0.5,0,0,0,0,0
82617358195484.30,0,32,0,-18,14,0.1,0.5,0,0,0,0,2
84269705363262.80,0,31,0,-16,15,0.1,0.5,0,0,0,0,2
85922052531166.20,0,33,0,-13,20,0.1,0.5,0,0,0,0,4
87574399699179.00,0,31,0,-13,18,0.1,0.5,0,0,0,0,0
89226746867316.80,15.61645508,30,0,-12,18,0.1,0.5,0,0,0,0,1
90879094035563.90,0,32,0,-11,21,0.1,0.5,0,0,0,0,3
92531441203920.30,15.62084961,35,0,-10,25,0.1,0.5,0,0,0,0,4
94183788372401.80,0,32,0,-11,21,0.1,0.5,0,0,0,0,0
